i,LOGID,SYSTEM_MACHINE_NAME,USER_MACHINE_NAME,PROJECT_ID,PROJECT_REVISION,BOARD_NAME,BOARD_WIDTH,BOARD_HEIGHT,PROGRAM_ID,PROGRAM_REVISION,PROGRAM_NAME,BOARD_SIDE,INSPECTION_PROCESS_TYPE,MACHINE_TYPE,PG_COMMENT,INSPECTION_PROGRAM_UPDATE,INSPECTION_ID,BOARD_ID,LOT,INSPECTION_END_TIME,CONFIRM_DATE,INSPECTION_RESULT_CODE,INSPECTION_RESULT_NAME,CONFIRM_RESULT_CODE,CONFIRM_RESULT_NAME,USER_CONFIRM_FLAG,INSPECTION_USER_NAME,CONFIRM_USER_ID,CONFIRM_USER_NAME,NG_POINT_COUNT,COMPONENT_COUNT,LAST_RESULT,LOG_ERROR_FLAG,LOG_FIN_FLAG,CREARTE_DATETIME,UPDATE_DATETIME,h.Start,h.End,h.Lean,h.ProgramName,h.Number,h.CompoCnt,m.Start,m.End,m.Lane,m.ProgramName,m.Number,p.Start,p.End,p.ProgramName,p.Number,SqueegeeOpValue,SqueIdentBefore,SqueIdentAfter,SqueegeeOpValueX,SqueegeeOpValueY,SqueegeeOpValueTheta,SqueegeeOpValueY.1,CycleTime,PrintPressureMin,PrintPressureMax,Temperature,Humidity,reflow.time,heater1_up_SetV,heater1_down_SetV,heater2_up_SetV,heater2_down_SetV,heater3_up_SetV,heater3_down_SetV,heater4_up_SetV,heater4_down_SetV,heater5_up_SetV,heater5_down_SetV,heater6_up_SetV,heater6_down_SetV,heater7_up_SetV,heater7_down_SetV,heater8_up_SetV,heater8_down_SetV,cool_temp1.up.SetV,conbereSpeed.SetV,O2density.SP.SetV,combere_width_fix_SetV,deflection_width_fix_SetV,conberewidthSP_setV,deflection_widthSP_SetV,heater1_up_MeasureV,heater1_down_MeasureV,heater2_up_MeasureV,heater2_down_MeasureV,heater3_up_MeasureV,heater3_down_MeasureV,heater4_up_MeasureV,heater4_down_MeasureV,heater5_up_MeasureV,heater5_down_MeasureV,heater6_up_MeasureV,heater6_down_MeasureV,heater7_up_MeasureV,heater7_down_MeasureV,heater8_up_MeasureV,heater8_down_MeasureV,cool_temp1.up.MeasureV,conbereSpeed.MeasureV,O2density.PV.MeasureV,inBoardCNT,ProductionBoardCNT,combere_width_MeasureV,deflection_width_MeasureV,integratedFlow,heater1_up_MV,heater1_down_MV,heater2_up_MV,heater2_down_MV,heater3_up_MV,heater3_down_MV,heater4_up_MV,heater4_down_MV,heater5_up_MV,heater5_down_MV,heater6_up_MV,heater6_down_MV,heater7_up_MV,heater7_down_MV,heater8_up_MV,heater8_down_MV,blower1_up_SetV,blower1_down_SetV,blower2_up_SetV,blower2_down_SetV,blower3_up_SetV,blower3_down_SetV,blower4_up_SetV,blower4_down_SetV,blower5_up_SetV,blower5_down_SetV,blower6_up_SetV,blower6_down_SetV,blower7_up_SetV,blower7_down_SetV,blower8_up_SetV,blower8_down_SetV,blowerC1_up_SetV,h.prg.ProgramName,h.prg.time,h.prg.BoardSizeSetupValue.W.,h.prg.BoardSizeSetupValue.L.,h.prg.BoardSizeSetupValue.t.,h.prg.PojiMarkValue1.X.,h.prg.PojiMarkValue1.Y.,h.prg.PojiMarkValue2.X.,h.prg.PojiMarkValue2.Y.,h...,p.prg.ProgramName,p.prg.time,p.prgPressSetValue.F.,p.prgPressSetValue.R.,p.prgSkgSpdsetvalue.F.,p.prgSkgSpdsetvalue.R.,p.prgSkgStroke.Start.setvalue,SkgStroke.End.setvalue,p.prg.boardvalue.W.,p.prg.boardvalue.L.,p.prg.boardvalue.t.,p.prgPojiMarkValue1.X.,p.prgPojiMarkValue1.Y.,p.prgPojiMarkValue2.X.,p.prgPojiMarkValue2.Y.,p.prgMaskPojiMaskValue1.X.,p.prgMaskPojiMaskValue1.Y.,p.prgMaskPojiMaskValue2.X.,p.prgMaskPojiMaskValue2.Y.,p.prgCleanMethodofMetalMask,p.prg...,P.PRG.23,P.PRG.24,P.PRG.25,P.PRG.26,P.PRG.27,M_E_5806,M_E_5100,M_E_ae04,M_E_3095,M_E_aa28,M_E_3067,m.prg.ProgramName,m.prg.time,m.prg.BoardSizeSetupValue.W.,m.prg.BoardSizeSetupValue.L.,m.prg.BoardSizeSetupValue.t.,m.prg.PojiMarkValue1.X.,m.prg.PojiMarkValue1.Y.,m.prg.PojiMarkValue2.X.,m.prg.PojiMarkValue2.Y.,m.prg...,f.p.work,f.hp.wait,f.h.work,f.mh.wait,f.m.work,f.t.surface,H_Enew_14,H_Enew_5,H_Enew_3,H_Enew_4,H_Enew_9,H_Enew_10,H_Enew_6,H_Enew_0,H_Enew_1,H_Enew_12,H_Enew_8,H_Enew_11
1,54267,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142870,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,7,678,10,0,1,30:18.5,08:37.5,2015/9/1 0:06,2015/9/1 0:10,0,1278823-6-1_1,1,656,NA,NA,NA,NA,NA,2015/9/1 0:03,2015/9/1 0:03,9447132-4-1,1,218.474,1,1,1.861,-1.96,-2.115,96.98,87.157,6.897,6.983,29.627,48.041,2015/9/1 0:04,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140,140.1,160.1,160,180.1,180.1,180,180.1,179.9,180,200,200,240.1,240.6,259.9,259.8,58.9,0.9,4014,9,44,118,2,104,147,113,102,126,186,154,117,81,155,43,36,59,261,113,419,456,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,167,288,NA,NA,NA,0,10,30,2,6,8,2,2,0,0,0,0
1,54268,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142871,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,9,678,10,0,1,30:21.7,08:37.5,2015/9/1 0:06,2015/9/1 0:11,1,1278823-6-1_1,1,656,NA,NA,NA,NA,NA,2015/9/1 0:04,2015/9/1 0:04,9447132-4-1,2,218.473,1,0,1.939,-1.994,-2.129,96.98,20.469,6.911,6.988,29.657,47.926,2015/9/1 0:04,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,139.9,140.1,160,160,180,179.9,180,180,180,180,200.1,200.1,240,240.7,260,259.9,59,0.9,4118,9,44,118,2,104,176,128,77,137,142,139,64,111,68,101,66,134,296,137,386,460,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,100,309,NA,NA,NA,0,10,26,2,0,4,2,2,0,0,0,0
1,54269,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142872,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,141,部品位置ずれ,0,正常,0,None,6,v-CA-05,8,678,10,0,1,30:25.0,08:37.5,2015/9/1 0:08,2015/9/1 0:13,0,1278823-6-1_1,2,656,NA,NA,NA,NA,NA,2015/9/1 0:04,2015/9/1 0:05,9447132-4-1,3,218.472,0,1,1.553,-0.977,-0.933,96.98,20.078,6.897,7.012,29.627,48.041,2015/9/1 0:04,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,139.9,140.1,160,160,180,179.9,180,180,180,180,200.1,200.1,240,240.7,260,259.9,59,0.9,4118,9,44,118,2,104,176,128,77,137,142,139,64,111,68,101,66,134,296,137,386,460,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,200,279,NA,NA,NA,0,12,18,2,2,8,4,4,0,0,0,0
1,54270,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142873,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,6,678,10,0,1,30:28.2,08:37.5,2015/9/1 0:08,2015/9/1 0:13,1,1278823-6-1_1,2,656,NA,NA,NA,NA,NA,2015/9/1 0:05,2015/9/1 0:05,9447132-4-1,4,218.472,1,0,1.813,-2.018,-2.115,96.98,19.203,6.911,7.039,29.688,48.041,2015/9/1 0:06,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140.1,140.1,160,160,180,179.9,179.9,180,180,179.9,200.1,200.1,240,239.2,260.1,260.1,59.5,0.9,46,6,48,118,2,192,71,78,79,112,125,208,141,133,59,139,41,73,322,357,364,475,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1278823-6-1_1,2015/9/1 0:08,239.4,118,1.6,2.2,102.3,219.9,11.8,0,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,208,307,NA,NA,NA,0,12,14,2,4,8,4,4,0,0,0,0
1,54271,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142874,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,3,678,10,0,1,30:31.2,08:37.5,2015/9/1 0:10,2015/9/1 0:15,0,1278823-6-1_1,3,656,NA,NA,NA,NA,NA,2015/9/1 0:05,2015/9/1 0:05,9447132-4-1,5,218.471,0,1,1.54,-1.032,-0.923,96.98,19.219,6.954,7.012,29.627,47.964,2015/9/1 0:06,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140.1,140.1,160,160,180,179.9,179.9,180,180,179.9,200.1,200.1,240,239.2,260.1,260.1,59.5,0.9,46,6,48,118,2,192,71,78,79,112,125,208,141,133,59,139,41,73,322,357,364,475,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1278823-6-1_1,2015/9/1 0:08,239.4,118,1.6,2.2,102.3,219.9,11.8,0,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,281,320,NA,NA,NA,0,12,8,2,4,8,4,4,0,0,0,0
1,54272,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142875,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,4,678,10,0,1,30:33.9,08:37.5,2015/9/1 0:11,2015/9/1 0:16,1,1278823-6-1_1,3,656,NA,NA,NA,NA,NA,2015/9/1 0:06,2015/9/1 0:06,9447132-4-1,6,218.472,1,0,1.965,-1.963,-2.131,96.98,19.203,6.937,7.039,29.627,47.888,2015/9/1 0:06,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140.1,140,160,160,180,179.9,179.9,180,180,179.9,200.1,200.1,239.9,239.2,260.1,260.1,59.4,0.91,44,6,48,118,2,192,71,170,132,166,177,183,132,126,90,122,86,47,287,378,379,431,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1278823-6-1_1,2015/9/1 0:08,239.4,118,1.6,2.2,102.3,219.9,11.8,0,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,285,314,NA,NA,NA,0,12,8,2,4,8,4,4,0,0,0,0
1,54273,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142876,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,7,678,10,0,1,30:36.7,08:37.5,2015/9/1 0:11,2015/9/1 0:17,0,1278823-6-1_1,4,656,NA,NA,NA,NA,NA,2015/9/1 0:06,2015/9/1 0:06,9447132-4-1,7,218.471,0,1,1.835,-0.933,-0.988,96.98,19.235,6.954,7.04,29.688,47.926,2015/9/1 0:06,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140.1,140,160,160,180,179.9,179.9,180,180,179.9,200.1,200.1,239.9,239.2,260.1,260.1,59.4,0.91,44,6,48,118,2,192,71,170,132,166,177,183,132,126,90,122,86,47,287,378,379,431,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1278823-6-1_1,2015/9/1 0:08,239.4,118,1.6,2.2,102.3,219.9,11.8,0,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,308,355,NA,NA,NA,0,8,6,2,4,10,6,6,0,0,0,0
1,54274,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142877,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,5,678,10,0,1,30:39.8,08:37.5,2015/9/1 0:12,2015/9/1 0:19,1,1278823-6-1_1,4,656,NA,NA,NA,NA,NA,2015/9/1 0:07,2015/9/1 0:07,9447132-4-1,8,218.472,1,0,1.858,-1.975,-2.175,96.98,19.265,6.937,7.039,29.688,47.964,2015/9/1 0:08,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140.1,140.1,160.1,160,180,180,180.1,180,180,180.1,200,200,240,239.7,260,260.1,59.6,0.91,49,7,50,118,2,130,129,103,86,88,176,188,78,109,70,116,63,67,315,348,387,421,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1278823-6-1_1,2015/9/1 0:08,239.4,118,1.6,2.2,102.3,219.9,11.8,0,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,346,389,NA,NA,NA,0,6,4,2,4,10,6,6,0,0,0,0
1,54275,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142878,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,10,678,10,0,1,30:42.6,08:37.5,2015/9/1 0:13,2015/9/1 0:20,0,1278823-6-1_1,5,656,NA,NA,NA,NA,NA,2015/9/1 0:07,2015/9/1 0:07,9447132-4-1,9,218.471,0,1,1.638,-1.039,-0.988,96.98,19.219,6.926,7.012,29.596,47.85,2015/9/1 0:08,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140.1,140.1,160.1,160,180,180,180.1,180,180,180.1,200,200,240,239.7,260,260.1,59.6,0.91,49,7,50,118,2,130,129,103,86,88,176,188,78,109,70,116,63,67,315,348,387,421,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1278823-6-1_1,2015/9/1 0:08,239.4,118,1.6,2.2,102.3,219.9,11.8,0,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,378,408,NA,NA,NA,0,6,0,0,4,8,6,6,0,0,0,0
1,54276,VT-S730-0064,VT-S730-0064,48,67,9447132-4_1,239400,118000,1,67,1278823,0,2,3,NA,2.02E+16,142879,1010000000000.00 ,1007958409,2.02E+16,2.02E+16,131,部品哙い,0,正常,0,None,6,v-CA-05,6,678,10,0,1,30:46.0,08:37.5,2015/9/1 0:15,2015/9/1 0:21,1,1278823-6-1_1,5,656,NA,NA,NA,NA,NA,2015/9/1 0:07,2015/9/1 0:07,9447132-4-1,10,218.473,1,0,1.839,-1.955,-2.141,96.98,20.906,6.937,6.988,29.566,47.811,2015/9/1 0:08,140,140,160,160,180,180,180,180,180,180,200,200,240,240,260,260,6,0.9,5000,1,2,118,60,140.1,140.1,160.1,160,180,180,180.1,180,180,180.1,200,200,240,239.7,260,260.1,59.6,0.91,49,7,50,118,2,130,129,103,86,88,176,188,78,109,70,116,63,67,315,348,387,421,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,1278823-6-1_1,2015/9/1 0:08,239.4,118,1.6,2.2,102.3,219.9,11.8,0,9447132-4-1,2015/9/1 0:00,7,7,50,50,90,10,118,239.4,1.7,9.528,114.724,227.825,3.497,9.528,114.724,227.825,3.497,6,0,6.05E+16,30,2.08E+16,2.00E+17,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,438,375,NA,NA,NA,0,6,0,0,8,10,6,6,0,0,0,0
