,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
A,92.383,92.2742,92.383,92.2742,92.383,92.2742,95.8651,92.383,95.8651,92.383,95.8651,92.383,A,95.8651,92.383,95.8651,92.383,95.8651,92.383
B,92.383,92.2742,88.901,92.2742,88.901,92.2742,92.383,92.383,92.383,92.383,94.8857,92.383,B,92.383,92.383,92.383,92.383,94.8857,92.383
C,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,C,92.383,92.383,92.383,92.383,92.383,92.383
D,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,D,92.383,92.383,92.383,92.383,92.383,92.383
E,92.383,91.0773,92.383,91.0773,92.383,91.0773,93.6888,92.383,93.6888,92.383,93.6888,92.383,E,93.6888,92.383,93.6888,92.383,93.6888,92.383
F,93.6888,91.0773,93.6888,91.0773,93.6888,91.0773,95.8651,92.383,95.8651,92.383,95.8651,92.383,F,95.8651,92.383,95.8651,92.383,95.8651,92.383
G,27.4211,88.5745,27.4211,88.5745,36.3439,88.5745,93.9064,92.383,93.9064,92.383,93.9064,92.383,G,93.9064,92.383,93.9064,92.383,93.9064,92.383
H,84.5484,90.8596,84.5484,90.8596,83.2427,84.8749,92.383,92.383,92.383,92.383,92.383,92.383,H,92.383,92.383,92.383,92.383,92.383,92.383
I,83.2427,91.0773,75.4081,91.0773,75.4081,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,I,92.383,92.383,92.383,92.383,92.383,92.383
J,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,J,92.383,92.383,92.383,92.383,92.383,92.383
K,93.6888,91.0773,93.6888,91.0773,93.6888,91.0773,95.8651,92.383,95.8651,92.383,95.8651,92.383,K,95.8651,92.383,95.8651,92.383,95.8651,92.383
L,21.5452,84.3308,21.5452,84.3308,54.2982,84.3308,92.383,92.383,92.383,92.383,92.383,92.383,L,92.383,92.383,92.383,92.383,92.383,92.383
M,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,M,92.383,92.383,92.383,92.383,92.383,92.383
N,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,N,92.383,92.383,92.383,92.383,92.383,92.383
O,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,O,92.383,92.383,92.383,92.383,92.383,92.383
P,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,P,92.383,92.383,92.383,92.383,92.383,92.383
Q,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,Q,92.383,92.383,92.383,92.383,92.383,92.383
R,79.2165,92.2742,82.9162,92.2742,89.5539,92.2742,92.383,92.383,92.383,92.383,94.7769,92.383,R,92.383,92.383,92.383,92.383,94.7769,92.383
S,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,S,92.383,92.383,92.383,92.383,92.383,92.383
T,92.383,86.5071,92.383,86.5071,92.383,86.5071,91.9478,92.383,92.0566,92.383,91.1861,92.383,T,91.9478,92.383,92.0566,92.383,91.1861,92.383
U,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,U,92.383,92.383,92.383,92.383,92.383,92.383
V,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,V,92.383,92.383,92.383,92.383,92.383,92.383
W,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.1654,92.383,92.0566,92.383,W,92.383,92.383,92.1654,92.383,92.0566,92.383
X,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,X,92.383,92.383,92.383,92.383,92.383,92.383
Y,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,Y,92.383,92.383,92.383,92.383,92.383,92.383
Z,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,Z,92.383,92.383,92.383,92.383,92.383,92.383
AA,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AA,92.383,92.383,92.383,92.383,92.383,92.383
AB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AB,92.383,92.383,92.383,92.383,92.383,92.383
AC,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AC,92.383,92.383,92.383,92.383,92.383,92.383
AD,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AD,92.383,92.383,92.383,92.383,92.383,92.383
AE,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.0566,92.383,AE,92.383,92.383,92.383,92.383,92.0566,92.383
AF,93.6888,92.2742,93.6888,92.2742,93.6888,92.2742,93.6888,92.383,93.6888,92.383,93.6888,92.383,AF,93.6888,92.383,93.6888,92.383,93.6888,92.383
