,ici,,,,,,,
kernel,epsilon-SVR,,,,nu-SVR,,,
,single,,reverse,,single,,reverse,
features,MSR,SCC,MSR,SCC,MSR,SCC,MSR,SCC
A,0.159697,0.469481,0.282314,0.000411919,0.165371,0.473318,0.286226,0.000879012
B,0.196744,0.479791,0.282443,1.6025e-05,0.197806,0.479708,0.28619,0.00028138
C,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
D,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
E,0.238032,0.475612,0.282699,9.23683e-05,0.252437,0.479201,0.286706,5.83645e-07
F,0.158856,0.473275,0.282234,0.000715927,0.165399,0.473244,0.286166,0.000891275
G,1568.8,0.0183575,0.282557,0.000161982,3708.43,0.00162672,0.28587,0.000242886
H,0.284211,5.21934e-16,0.282781,6.96737e-05,0.304679,nan,0.286167,1.38839e-05
I,0.284211,5.21934e-16,0.282786,9.54294e-05,0.304679,nan,0.286045,1.51171e-05
J,0.284211,2.36113e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
K,0.158877,0.47322,0.282182,0.000676436,0.165373,0.47332,0.286381,0.00073947
L,0.284211,5.21934e-16,0.282607,0.000190181,0.304679,nan,0.286009,8.04877e-07
M,0.284211,1.45431e-16,0.28219,0.000537251,0.304679,-0,0.286396,0.000849354
N,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
O,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
P,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
Q,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
R,0.202111,0.390664,0.282594,0.000215205,0.203134,0.390821,0.287095,1.53801e-05
S,0.284211,4.77916e-16,0.28219,0.000537251,0.304679,0,0.286396,0.000849354
T,54.9084,0.0157187,0.282487,7.84244e-05,nan,nan,0.286616,0.000233359
U,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
V,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
W,0.295223,0.00273253,0.282322,0.000552984,0.316452,0.00257608,0.285969,0.000749802
X,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
Y,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
Z,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AA,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AB,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AC,0.284211,8.11392e-16,0.28219,0.000537644,0.304679,4.35303e-17,0.286396,0.000849843
AD,0.284211,8.11392e-16,0.28219,0.000537644,0.304679,4.35303e-17,0.286396,0.000849843
AE,0.287457,0.000379279,0.282188,0.000582952,0.30711,0.000479264,0.286369,0.00090735
AF,0.237178,0.479198,0.28256,5.17987e-05,0.252431,0.479181,0.286297,0.00011726
AG,0.0110247,0.996149,0.28219,0.000537235,0.00108817,0.99615,0.286396,0.000849335
AH,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AI,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AJ,0.298676,0.00114905,0.282254,0.000362535,0.305149,0.00117467,0.286423,0.000483658
AK,0.159226,0.438839,0.282533,0.00024994,0.16565,0.434831,0.286013,4.15002e-05
AL,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AM,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AN,0.284211,8.58192e-16,0.282188,0.00054709,0.304679,nan,0.286395,0.000860945
AO,288.022,0.26323,0.282454,0.000162078,285.861,0.263531,0.28662,0.000322806
AP,0.301977,0.000159244,0.282165,0.000881181,0.31961,0.000156672,0.286159,0.00129746
AQ,0.237191,0.479195,0.282678,0.000190934,0.252337,0.479196,0.286067,2.05517e-07
AR,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AS,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AT,0.284211,1.46622e-16,0.28219,0.000537251,0.304679,0,0.286396,0.000849354
AU,11.2039,0.0494116,0.282211,0.000291396,8.14146,0.0419774,0.286543,0.000386563
AV,0.284211,5.21934e-16,0.282164,0.000884521,0.304678,0.000924599,0.286272,0.0013201
AW,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AX,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
AY,1568.8,0.0183575,0.282529,9.17637e-05,3708.43,0.00162672,0.286375,0.000155033
AZ,0.306307,0.000723236,0.282483,0.00017234,0.322564,0.000604869,0.285853,0.000711179
BA,0.237152,0.4792,0.282671,0.000116043,0.252478,0.479199,0.286164,3.35818e-06
BB,0.284211,2.75465e-16,0.282188,0.000546655,0.304679,0,0.286395,0.000860409
BC,0.284211,1.73045e-16,0.282188,0.000546655,0.304679,-0,0.286395,0.000860409
BD,0.284126,0.0145098,0.28219,0.00053785,0.304681,0.000364623,0.286396,0.000850063
BE,0.283932,0.0230088,0.282187,0.000549247,0.304714,0.0108046,0.286395,0.000863444
BF,0.284015,0.0158456,0.282187,0.000551844,0.304608,0.0635045,0.286395,0.000866475
