,ici,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse
A,42.4008,40.7007,42.3493,36.3215,37.3004,37.3004,49.253,34.6728,47.2952,34.6728,45.0283,34.6728
B,38.4853,33.1788,38.4853,36.6306,31.2725,31.2725,49.3045,34.6728,48.1195,34.6728,47.3467,34.6728
C,22.7718,34.5698,16.5379,37.558,14.9408,14.9408,34.6728,34.6728,34.6728,34.6728,34.7759,34.6728
D,26.5327,37.6095,20.1443,36.0639,23.7506,23.7506,34.6728,34.6728,34.6728,34.6728,34.6213,34.6728
E,30.3967,35.6002,36.9397,35.8578,25.5538,25.5538,36.8882,34.6728,44.3071,34.6728,44.101,34.6728
F,50.9016,33.694,50.8501,37.4034,43.1221,43.1221,50.0258,34.6728,49.2014,34.6728,47.4498,34.6728
G,48.5317,34.0031,48.5317,33.694,48.5317,48.5317,47.2437,34.6728,46.4709,34.6728,45.389,34.6728
H,31.8908,33.9001,23.3385,30.5513,24.3174,24.3174,34.6728,34.6728,34.3637,34.6728,34.2092,34.6728
I,46.3163,38.3823,46.3679,36.6306,46.4194,46.4194,46.1618,34.6728,45.6466,34.6728,45.3375,34.6728
J,34.6728,35.4456,34.6728,37.6095,34.6728,34.6728,36.2184,34.6728,35.4456,34.6728,35.1365,34.6728
K,34.6728,26.7388,34.6728,30.7058,34.6728,34.6728,53.6837,34.6728,53.9413,34.6728,53.9928,34.6728
L,35.3426,34.7244,35.3426,31.9423,35.3426,35.3426,35.3426,34.6728,35.3426,34.6728,35.3426,34.6728
M,35.3426,33.7455,35.3426,35.8578,35.3426,35.3426,35.3426,34.6728,35.3426,34.6728,35.3426,34.6728
N,44.7707,31.3756,44.7707,34.7244,44.7707,44.7707,55.3838,34.6728,55.3838,34.6728,55.3838,34.6728
O,36.476,35.4456,39.0005,34.1061,39.1036,39.1036,39.3612,34.6728,39.5672,34.6728,40.237,34.6728
P,34.6728,34.1577,34.6728,38.1762,34.6728,34.6728,34.6728,34.6728,34.6728,34.6728,34.6728,34.6728
Q,34.6728,36.0639,34.6728,34.5698,34.6728,34.6728,34.6728,34.6728,34.4668,34.6728,34.7759,34.6728
R,46.677,33.7455,49.356,36.373,49.4075,49.4075,49.3045,34.6728,49.4075,34.6728,49.4075,34.6728
S,34.6728,33.7455,34.6728,36.1669,34.6728,34.6728,34.6728,34.6728,34.6728,34.6728,34.6728,34.6728
T,44.7707,29.6754,45.0799,33.9001,45.1314,45.1314,44.9253,34.6728,44.9768,34.6728,45.0283,34.6728
U,34.6213,31.5301,34.6213,33.1273,34.6213,34.6213,34.8789,34.6728,35.2911,34.6728,35.4456,34.6728
V,52.035,38.846,52.035,35.7548,52.0866,52.0866,52.6533,34.6728,52.7048,34.6728,52.5502,34.6728
W,49.253,33.2303,49.253,36.9912,49.5621,49.5621,49.5106,34.6728,49.356,34.6728,49.5106,34.6728
X,44.9253,29.4693,44.8223,37.0428,44.7707,44.7707,45.6981,34.6728,45.9042,34.6728,46.5739,34.6728
Y,36.2184,32.1999,36.27,36.8367,36.2184,36.2184,36.373,34.6728,37.7125,34.6728,39.7218,34.6728
Z,34.6728,32.3545,34.6728,32.7151,34.6728,34.6728,34.6728,34.6728,34.6728,34.6728,34.5183,34.6728
AB,41.6795,35.9093,41.7826,32.8697,41.9371,41.9371,42.916,34.6728,43.1736,34.6728,44.8738,34.6728
