,ici,,,,,,,
kernel,epsilon-SVR,,,,nu-SVR,,,
,single,,reverse,,single,,reverse,
features,MSR,SCC,MSR,SCC,MSR,SCC,MSR,SCC
A,4.56917,0.126794,5.03551,0.000500628,4.20752,0.0981131,4.59624,6.86E-05
B,4.40277,0.130173,5.03551,0.000500628,4.13051,0.105006,4.59624,6.86E-05
C,5.0354,2.53E-05,5.03596,0.000817621,4.59562,6.72E-05,4.59673,0.000592669
D,5.03165,4.84E-05,5.03596,0.000817621,4.59392,0.000535612,4.59673,0.000592669
E,4.63477,0.0600243,5.03596,0.000817621,4.53098,0.0234467,4.59673,0.000592669
F,4.68938,0.0893899,5.03596,0.000817621,4.49199,0.0444134,4.59673,0.000592669
G,4.67362,0.0968772,5.03596,0.000817621,4.39694,0.0590242,4.59673,0.000592669
H,5.01336,0.00323708,5.03596,0.000817621,4.5807,0.00323949,4.59673,0.000592669
I,4.77613,0.0960175,5.03596,0.000817621,4.28665,0.0758236,4.59673,0.000592669
J,5.73515,0.00275156,5.03596,0.000817621,4.67586,0.00014023,4.59673,0.000592669
K,4.14202,0.216261,5.03593,0.000798755,3.95161,0.192411,4.5967,0.000548998
L,5.10902,0.0071919,5.03596,0.000817621,4.6203,0,4.59673,0.000592669
M,5.10902,0.0071919,5.03596,0.000817621,4.6203,0,4.59673,0.000592669
N,5.2832,0.0926946,5.03596,0.000817621,4.1051,0.108153,4.59673,0.000592669
O,4.7446,0.10349,5.03596,0.000817621,4.23493,0.102119,4.59673,0.000592669
P,5.68306,0.00391798,5.03596,0.000817621,4.62021,0.00370721,4.59673,0.000592669
Q,5.21392,0.0121271,5.03596,0.000817621,4.62025,0.00147174,4.59673,0.000592669
R,5.02417,0.0663145,5.03596,0.000817621,4.60808,0.0395117,4.59673,0.000592669
S,4.97051,0.0380861,5.03596,0.000817621,4.61987,0.00755841,4.59673,0.000592669
T,5.30938,0.0242209,5.03596,0.000817621,4.62001,0.0363257,4.59673,0.000592669
U,5.59027,0.00051342,5.03596,0.000817621,4.62031,9.57E-06,4.59673,0.000592669
V,4.43212,0.131264,5.03596,0.000817621,4.39763,0.132478,4.59673,0.000592669
W,4.61665,0.114962,5.03596,0.000817621,4.39611,0.102129,4.59673,0.000592669
X,4.37359,0.113722,5.03596,0.000817621,4.20125,0.116075,4.59673,0.000592669
Y,5.06599,0.011091,5.03596,0.000817621,4.61082,0.00408828,4.59673,0.000592669
Z,5.73728,0.000891975,5.03596,0.000817621,4.62025,0.00281365,4.59673,0.000592669
AB,4.95343,0.0679797,5.03596,0.000817621,4.5207,0.0290069,4.59673,0.000592669
